거래일자,지역,연료원, 발전량(MWh) 
2018-01-15,울산시,LNG,34483
2018-01-15,울산시,유류,16417
2018-01-15,인천시,LNG,63884
2018-01-15,인천시,석탄,107148
2018-01-15,전라남도,LNG,36699
2018-01-15,전라남도,석탄,30014
2018-01-15,전라북도,LNG,6960
2018-01-15,전라북도,석탄,14441
2018-01-15,전라북도,유류,386
2018-01-15,제주도,유류,7962
2018-01-15,충청남도,LNG,22734
2018-01-15,충청남도,석탄,335373
2018-01-15,충청남도,유류,0
2018-01-15,충청북도,유류,1153
2018-01-16,강원도,LNG,13725
2018-01-16,강원도,석탄,71883
2018-01-16,경기도,LNG,219821
2018-01-16,경기도,석탄,1397
2018-01-16,경기도,유류,16477
2018-01-16,경상남도,석탄,163433
2018-01-16,경상남도,유류,292
2018-01-16,경상북도,LNG,8063
2018-01-16,경상북도,석탄,2610
2018-01-16,광주시,LNG,1377
2018-01-16,대구시,LNG,9463
2018-01-16,대구시,석탄,24
2018-01-16,대구시,유류,552
2018-01-16,대전시,LNG,0
2018-01-16,대전시,유류,675
2018-01-16,부산시,LNG,31553
2018-01-16,부산시,석탄,174
2018-01-16,서울시,LNG,710
2018-01-16,세종시,LNG,12276
2018-01-16,울산시,LNG,40494
2018-01-16,울산시,유류,24176
2018-01-16,인천시,LNG,67454
2018-01-16,인천시,석탄,112841
2018-01-16,전라남도,LNG,39167
2018-01-16,전라남도,석탄,30639
2018-01-16,전라북도,LNG,8229
2018-01-16,전라북도,석탄,14496
2018-01-16,전라북도,유류,399
2018-01-16,제주도,유류,8107
2018-01-16,충청남도,LNG,32375
2018-01-16,충청남도,석탄,345288
2018-01-16,충청남도,유류,0
2018-01-16,충청북도,유류,1161
2018-01-17,강원도,LNG,14479
2018-01-17,강원도,석탄,73324
2018-01-17,경기도,LNG,219758
2018-01-17,경기도,석탄,1400
2018-01-17,경기도,유류,15601
2018-01-17,경상남도,석탄,164202
2018-01-17,경상남도,유류,316
2018-01-17,경상북도,LNG,7858
2018-01-17,경상북도,석탄,2591
2018-01-17,광주시,LNG,2177
2018-01-17,대구시,LNG,9023
2018-01-17,대구시,석탄,15
2018-01-17,대구시,유류,553
2018-01-17,대전시,LNG,1021
2018-01-17,대전시,유류,528
2018-01-17,부산시,LNG,32067
2018-01-17,부산시,석탄,165
2018-01-17,서울시,LNG,701
2018-01-17,세종시,LNG,12148
2018-01-17,울산시,LNG,33233
2018-01-17,울산시,유류,23886
2018-01-17,인천시,LNG,60361
2018-01-17,인천시,석탄,113704
2018-01-17,전라남도,LNG,40624
2018-01-17,전라남도,석탄,30727
2018-01-17,전라북도,LNG,8892
2018-01-17,전라북도,석탄,16332
2018-01-17,전라북도,유류,402
2018-01-17,제주도,유류,7096
2018-01-17,충청남도,LNG,25377
2018-01-17,충청남도,석탄,330502
2018-01-17,충청남도,유류,0
2018-01-17,충청북도,유류,1152
2018-01-18,강원도,LNG,14943
2018-01-18,강원도,석탄,74173
2018-01-18,경기도,LNG,215365
2018-01-18,경기도,석탄,1385
2018-01-18,경기도,유류,15816
2018-01-18,경상남도,석탄,164555
2018-01-18,경상남도,유류,300
2018-01-18,경상북도,LNG,8176
2018-01-18,경상북도,석탄,2625
2018-01-18,광주시,LNG,1330
2018-01-18,대구시,LNG,8927
2018-01-18,대구시,석탄,20
2018-01-18,대구시,유류,552
2018-01-18,대전시,LNG,196
2018-01-18,대전시,유류,519
2018-01-18,부산시,LNG,29863
2018-01-18,부산시,석탄,167
2018-01-18,서울시,LNG,765
2018-01-18,세종시,LNG,12269
2018-01-18,울산시,LNG,35627
2018-01-18,울산시,유류,23196
2018-01-18,인천시,LNG,60132
2018-01-18,인천시,석탄,113109
2018-01-18,전라남도,LNG,41020
2018-01-18,전라남도,석탄,31017
2018-01-18,전라북도,LNG,8762
2018-01-18,전라북도,석탄,15714
2018-01-18,전라북도,유류,400
2018-01-18,제주도,유류,7226
2018-01-18,충청남도,LNG,32140
2018-01-18,충청남도,석탄,331207
2018-01-18,충청남도,유류,0
2018-01-18,충청북도,유류,1172
2018-01-19,강원도,LNG,13866
2018-01-19,강원도,석탄,72847
2018-01-19,경기도,LNG,217738
2018-01-19,경기도,석탄,1378
2018-01-19,경기도,유류,9776
2018-01-19,경상남도,석탄,163567
2018-01-19,경상남도,유류,328
2018-01-19,경상북도,LNG,8020
2018-01-19,경상북도,석탄,2665
2018-01-19,광주시,LNG,2340
2018-01-19,대구시,LNG,8993
2018-01-19,대구시,석탄,14
2018-01-19,대구시,유류,552
2018-01-19,대전시,LNG,582
2018-01-19,대전시,유류,690
2018-01-19,부산시,LNG,27682
2018-01-19,부산시,석탄,156
2018-01-19,서울시,LNG,958
2018-01-19,세종시,LNG,12180
2018-01-19,울산시,LNG,31590
2018-01-19,울산시,유류,23231
2018-01-19,인천시,LNG,61494
2018-01-19,인천시,석탄,113557
2018-01-19,전라남도,LNG,41384
2018-01-19,전라남도,석탄,30938
2018-01-19,전라북도,LNG,7803
2018-01-19,전라북도,석탄,17665
2018-01-19,전라북도,유류,391
2018-01-19,제주도,유류,8158
2018-01-19,충청남도,LNG,29531
2018-01-19,충청남도,석탄,332375
2018-01-19,충청남도,유류,0
2018-01-19,충청북도,유류,1153
2018-01-20,강원도,LNG,0
2018-01-20,강원도,석탄,70326
2018-01-20,경기도,LNG,154955
2018-01-20,경기도,석탄,1259
2018-01-20,경기도,유류,0
2018-01-20,경상남도,석탄,161013
2018-01-20,경상남도,유류,340
2018-01-20,경상북도,LNG,6695
2018-01-20,경상북도,석탄,2614
2018-01-20,광주시,LNG,1747
2018-01-20,대구시,LNG,8007
2018-01-20,대구시,석탄,9
2018-01-20,대구시,유류,552
2018-01-20,대전시,LNG,599
2018-01-20,대전시,유류,633
2018-01-20,부산시,LNG,9530
2018-01-20,부산시,석탄,68
2018-01-20,서울시,LNG,964
2018-01-20,세종시,LNG,12100
2018-01-20,울산시,LNG,22441
2018-01-20,울산시,유류,20168
2018-01-20,인천시,LNG,49735
2018-01-20,인천시,석탄,112779
2018-01-20,전라남도,LNG,37382
2018-01-20,전라남도,석탄,30729
2018-01-20,전라북도,LNG,2846
2018-01-20,전라북도,석탄,18359
2018-01-20,전라북도,유류,404
2018-01-20,제주도,유류,6996
2018-01-20,충청남도,LNG,16555
2018-01-20,충청남도,석탄,326278
2018-01-20,충청남도,유류,0
2018-01-20,충청북도,유류,1169
2018-01-21,강원도,LNG,33
2018-01-21,강원도,석탄,74574
2018-01-21,경기도,LNG,130720
2018-01-21,경기도,석탄,1136
2018-01-21,경기도,유류,199
2018-01-21,경상남도,석탄,158200
2018-01-21,경상남도,유류,322
2018-01-21,경상북도,LNG,5431
2018-01-21,경상북도,석탄,2552
2018-01-21,광주시,LNG,1340
2018-01-21,대구시,LNG,7799
2018-01-21,대구시,석탄,12
2018-01-21,대구시,유류,552
2018-01-21,대전시,LNG,143
2018-01-21,대전시,유류,663
2018-01-21,부산시,LNG,2195
2018-01-21,부산시,석탄,0
2018-01-21,서울시,LNG,959
2018-01-21,세종시,LNG,11977
2018-01-21,울산시,LNG,21781
2018-01-21,울산시,유류,971
2018-01-21,인천시,LNG,43528
2018-01-21,인천시,석탄,113115
2018-01-21,전라남도,LNG,32678
2018-01-21,전라남도,석탄,29967
2018-01-21,전라북도,LNG,0
2018-01-21,전라북도,석탄,17447
2018-01-21,전라북도,유류,391
2018-01-21,제주도,유류,7268
2018-01-21,충청남도,LNG,15293
2018-01-21,충청남도,석탄,322493
2018-01-21,충청남도,유류,0
2018-01-21,충청북도,유류,1157
2018-01-22,강원도,LNG,9670
2018-01-22,강원도,석탄,74661
2018-01-22,경기도,LNG,211728
2018-01-22,경기도,석탄,1310
2018-01-22,경기도,유류,15439
2018-01-22,경상남도,석탄,159226
2018-01-22,경상남도,유류,305
2018-01-22,경상북도,LNG,7946
2018-01-22,경상북도,석탄,2587
2018-01-22,광주시,LNG,2281
2018-01-22,대구시,LNG,8798
2018-01-22,대구시,석탄,56
2018-01-22,대구시,유류,552
2018-01-22,대전시,LNG,1053
2018-01-22,대전시,유류,684
2018-01-22,부산시,LNG,28041
2018-01-22,부산시,석탄,120
2018-01-22,서울시,LNG,939
2018-01-22,세종시,LNG,12209
2018-01-22,울산시,LNG,35869
2018-01-22,울산시,유류,14376
2018-01-22,인천시,LNG,60503
2018-01-22,인천시,석탄,112892
2018-01-22,전라남도,LNG,38194
2018-01-22,전라남도,석탄,29416
2018-01-22,전라북도,LNG,7190
2018-01-22,전라북도,석탄,17997
2018-01-22,전라북도,유류,381
2018-01-22,제주도,유류,7698
2018-01-22,충청남도,LNG,34683
2018-01-22,충청남도,석탄,342871
2018-01-22,충청남도,유류,0
2018-01-22,충청북도,유류,1153
2018-01-23,강원도,LNG,17134
2018-01-23,강원도,석탄,74685
2018-01-23,경기도,LNG,244050
2018-01-23,경기도,석탄,1263
